(V5,0.00,0.00
(V5,0.83,0.00
(V6,0.00,0.00
(V5,1.67,0.00
(V6,0.00,0.00
(V5,2.50,0.00
(V6,0.00,0.00
(V5,3.33,0.00
(V6,0.00,0.00
(V5,4.17,0.00
(V6,0.00,0.00
(V5,5.00,0.00
(V6,0.00,0.00
(V5,7.50,0.00
(V6,0.00,0.00
(V5,8.33,0.00
(V6,0.00,0.00
(V15,0.00,0.00
(V5,9.17,0.00
(V6,0.00,0.00
(V15,0.00,0.00
(V5,10.00,0.00
(V6,0.00,0.00
(V15,0.00,0.00
(V5,10.83,0.00
(V6,0.00,0.00
(V15,0.00,0.00
(V5,11.67,0.00
(V6,0.00,0.00
(V15,0.00,0.00
(V5,12.50,0.00
(V6,0.00,0.00
(V15,0.00,0.00
(V5,13.33,0.00
(V6,0.00,0.00
(V15,0.00,0.00
(V5,14.17,0.00
(V6,0.00,0.00
(V15,0.00,0.00
(V5,15.00,0.00
(V6,0.00,0.00
(V15,0.00,0.00
(V5,15.83,0.00
(V6,0.00,0.00
(V15,0.00,0.00
(V5,19.17,0.00
(V6,0.00,0.00
(V15,0.00,0.00
(V5,20.00,1518.00
(V6,0.00,1518.00
(V15,0.00,1518.00
(V5,20.00,0.00
(V6,0.00,0.00
(V15,0.00,0.00
(V5,20.00,0.00
(V6,0.00,0.00
(V15,0.00,0.00
(V5,20.00,0.00
(V6,0.00,0.00
(V15,0.00,0.00
(V5,20.00,0.00
(V6,0.00,0.00
(V15,0.00,0.00
(V5,20.00,0.00
(V6,0.00,0.00
(V15,0.00,0.00
(V5,20.00,0.00
(V6,0.00,0.00
(V15,0.00,0.00
(V5,20.00,0.00
(V6,0.00,0.00
(V15,0.00,0.00
(V5,20.00,0.00
(V6,0.00,0.00
(V15,0.00,0.00
(V5,20.00,0.00
(V6,0.00,0.00
(V15,0.00,0.00
(V5,20.00,0.00
(V6,0.00,0.00
(V15,0.00,0.00
(V5,20.00,0.00
(V6,0.00,0.00
(V15,0.00,0.00
(V5,20.00,0.00
(V6,0.00,0.00
(V15,0.00,0.00
(V5,20.00,0.00
(V6,0.00,0.00
(V15,0.00,0.00
(V5,20.00,0.00
(V6,0.00,0.00
(V15,0.00,0.00
(V5,20.00,0.00
(V6,0.00,0.00
(V15,0.00,0.00
(V5,0.00,2958641332224.00
(V5,0.83,2958641332224.00
(V6,0.00,2958641332224.00
(V5,1.67,2958641332224.00
(V6,0.00,2958641332224.00
(V5,2.50,2958641332224.00
(V6,0.00,2958641332224.00
(V5,3.33,2958641332224.00
(V6,0.00,2958641332224.00
(V5,4.17,2958641332224.00
(V6,0.00,2958641332224.00
(V5,5.00,2958641332224.00
(V6,0.00,2958641332224.00
(V5,0.00,2958641332224.00
(V5,0.83,2958641332224.00
(V6,0.00,2958641332224.00
(V5,1.67,2958641332224.00
(V6,0.00,2958641332224.00
(V5,2.50,2958641332224.00
(V6,0.00,2958641332224.00
(V5,3.33,2958641332224.00
(V6,0.00,2958641332224.00
(V5,4.17,2958641332224.00
(V6,0.00,2958641332224.00
(V5,5.00,2958641332224.00
(V6,0.00,2958641332224.00
(V5,7.50,2958641332224.00
(V6,0.00,2958641332224.00
(V5,8.33,2958641332224.00
(V6,0.00,2958641332224.00
(V15,0.00,2958641332224.00
(V5,9.17,2958641332224.00
(V6,0.00,2958641332224.00
(V15,0.00,2958641332224.00
(V5,10.00,2958641332224.00
(V6,0.00,2958641332224.00
(V15,0.00,2958641332224.00
(V5,10.83,2958641332224.00
(V6,0.00,2958641332224.00
(V15,0.00,2958641332224.00
(V5,11.67,2958641332224.00
(V6,0.00,2958641332224.00
(V15,0.00,2958641332224.00
(V5,12.50,2958641332224.00
(V6,0.00,2958641332224.00
(V15,0.00,2958641332224.00
(V5,13.33,2958641332224.00
(V6,0.00,2958641332224.00
(V15,0.00,2958641332224.00
(V5,14.17,2958641332224.00
(V6,0.00,2958641332224.00
(V15,0.00,2958641332224.00
(V5,15.00,2958641332224.00
(V6,0.00,2958641332224.00
(V15,0.00,2958641332224.00
(V5,15.83,2958641332224.00
(V6,0.00,2958641332224.00
(V15,0.00,2958641332224.00
